,reviews
6027,"Best Phone & Quik service ,As i received within 2 days of Booking."
6028,good it better for all users low cost mobile for every one can purchase it
6029,satisfy with shipping very nice product value for money
6030,this is the best phone in the price range as compare to other product and in the brand. I 100% satisfied with the purchase of iphone.
6031,The services of sd are best & quick service
6032,i will buy again if the snapdeal site gives a good deal
6033,"Nice phone,quick delivery,handsome price"
6034,"This is phone which has all the feature that other phones have, the built quality is much better than others. the main feature of it is the music, unbeatable by others, even we put EQ in other phones like s3 or Nokia lumia, they cant even touch the standards set be apple iphone in the stock head set."
6035,"I would like ur comment of delivery time and i must trust ur original product . Recently shopkeeper says online purchase products no warranty and not original Assy   i check warranty in service center. And he confirm asspect warranty one year.
Thanku snapdeal"
6036,"Excellent Service & Delivery timing
Third Time I am using Snapdeal Really Great Product Quality."
6037,Hello I had ordered iPhone 4s that I received in good condition intact with easily before predicted time . I'm very happy with the service and product. Thank you snapdeal
6038,Best mobile.....and best snapdeal service...... Very fast and....chip rate.....
6039,"It's an awesome experience while using it.
Much superior than any of the android and windows phone available in the market."
6040,IPhone 4s is an outstanding mobile device out in the market and trying to find one at such low price is very difficult and that's where snapdeal stepped in and made my day .
6041,An apple user for last 5 yrs.. Can't think of something else
6042,"I phone 4s have amezing look and also have best performance in medium range mobile in comperion to samsung, sony, nokia and motorola. i would like to thanks to snaldeal which provide me this phone at affordable cost."
6043,"Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices."
6044,Good product purchase from snapdeal battery
6045,"It's iPhone...,but u may want to go for more storage piece like 16 gb one....8 gb will allow u for dew pics,music that's all.....all u gonna get is 4gb of space and old technology.... U should use iPhone like an iPhone...."
6046,I loveing this phone i m very happy. i had purches the i phone from snapdeal.
6047,very nice this is my first apple device and I had a thrill in using this device
6048,The product is very good and one can prefer to take the same from here.
6049,I like it I phone a very very good in the world
6050,"this is my first iphone. good looking. but, sometimes heating."
6051,"I am very much happy to having this mobile, features and options it's simply superb even I like to tell others about this product."
6052,VESRY GOOD CONDITION AND VERY GOOD VERY NICE PHONE
6053,"The deal was very nice, received the phone in just 4 days. Would highly recommend  Snapdeal to everyone."
6054,"Nice product I recommend peoples to purchase products from snap deal its easy,fast and genuine...good communication fast delivery..really great experince of online shopping through snapdeal.."
6055,This is my first IOS Device. Good job in making
6056,in this rate rang this mobile is best and snap deal product service is very good. I like to purchase from online first preference to SNAP DEAL
6057,Nice product. It's up to the mark as described. Thank you so much.
6058,M happy for this product  & gud service snap deal future any product purchase continue
6059,"Small mobile like a toy, phone has very small screen"
6060,Yes I strongly recommended this product. It very low cost and functions working excellent.
6061,Product as per expectation with great delivery.
6062,Very good productes and allso geting invioce
6063,Totale orginal products. It is very nice and great servesssssss
6064,awesome product in this range would recommend to purchase  it..
6065,"Really wanted 1 and got 1, but the service received by snapdeal was amazing recommend every 1 to buy products from snapdeal,  not for price but also for ultimate satisfaction"
6066,This is a real good and worthy at present being very cost effective. Suggest others can buy
6067,"The iPhone 4s is Apple's most brilliant creation ever! ,it is the first iphone to introduce icloud,siri,an awesome 8mp camera and a brilliant display.Though it's an old phone,it runs pretty well and surprisingly still up to date with the latest ios.Many people says the screen size is outdated and not usable nowadays,     but believe me,when you will start to use it you will easily forget about the size!  and ya you have ios, the best os!
it's an awesome phone,great built quality,feels nice to hold in hands,great multimedia performance.  in my opinion it's way better than today's bulky,giant,specy phones!"
